27846;МГТС-4-ао
672;МГТС-4ап
673;МГТС-5ао
15557;МДМ Банк-п
854;Мегап.ИПД
49747;МегаФон ао
855;Мегион-ао
856;Мегион-ап
61457;МедиаВиМ
84352;Медиахолд
16349;МежрегСГ
9820;МЕРИДИАН
862;МеткомБ
9060;Мечел ао
35831;Мечел ап
51876;МИК-02
17105;МИКРОН ао
27888;МихГОК-1ао
27889;МихГОК-3ао
28335;МихГОК-ао
79862;МихРентИП
82984;МКБ ао
27849;МКонст-2ао
716;ММК
28563;ММК-002D
35101;МН-фонд ао
879;Монолит-ип
28410;МордовГК
28413;Мордтепло
881;Мордэнерго
880;МордЭнСб
41970;Морион ао
51353;МосБиржа
893;МоскНПЗ ао
46788;МосОблБанк
33490;Мостотр01D
27847;Мостотрест
889;МосТСК ао
27971;Мосхлеб2ао
27848;МосЭнерг-3
27734;МосЭнерго
891;МосЭС ао
892;МосЭСК ао
9441;Мотовил ао
726;МОЭСК
728;МОЭСК001
27905;МПЗ -ао
729;МПИндММВБ
730;МРСК СЗ
731;МРСК СЗ001
732;МРСК СЗ002
733;МРСК СЗ003
734;МРСК СЗ004
735;МРСК СЗ005
736;МРСК СЗ006
737;МРСК СЗ007
738;МРСК СЗ008
739;МРСК СЗ009
740;МРСК СЗ010
741;МРСК СЗ011
742;МРСК СК
743;МРСК СК001
744;МРСК СК002
745;МРСК СК003
746;МРСК СК004
49089;МРСК СК005
747;МРСК Ур
750;МРСК Ур002
751;МРСК Ур003
752;МРСК Ур004
753;МРСК Ур005
754;МРСК Ур006
755;МРСК Ур007
756;МРСК Ц-001
757;МРСК Ц-002
758;МРСК Ц-003
759;МРСК Ц-004
760;МРСК Ц-005
761;МРСК Ц-006
762;МРСК Ц-007
763;МРСК Ц-008
764;МРСК Ц-009
765;МРСК Ц-010
766;МРСК Ц-011
767;МРСК Ц-012
768;МРСК Ц-013
769;МРСК Ц-014
770;МРСК Ц-015
771;МРСК Ц-016
772;МРСК Ц-017
773;МРСК Ц-018
774;МРСК Ц-019
775;МРСК Ц-020
776;МРСК Ц-021
778;МРСК Центр
777;МРСК ЦП
779;МРСКВол
780;МРСКВол001
781;МРСКВол002
782;МРСКВол003
783;МРСКВол004
784;МРСКВол005
785;МРСКВол006
786;МРСКВол007
787;МРСКСиб
788;МРСКСиб001
789;МРСКСиб002
790;МРСКСиб003
791;МРСКСиб004
792;МРСКСиб005
793;МРСКСиб006
794;МРСКСиб007
795;МРСКСиб008
796;МРСКСиб009
797;МРСКСиб010
798;МРСКСиб011
799;МРСКСиб012
